filename,species,category,license,photographer,source_url,date_downloaded
red fox 1.jpg,red fox ,canid,CC-BY,"
alexislours",https://www.inaturalist.org/observations/383759968,2026-07-25
red fox 2.jpg,red fox ,canid,CC-BY,"
alexislours",https://www.inaturalist.org/observations/383759948,2026-07-25
red fox 3.jpg,red fox ,canid,CC-BY,"jo-s",https://www.inaturalist.org/observations/380276257,2026-07-25
red fox 4.jpg,red fox ,canid,CC-BY,charlottekirchner,https://www.inaturalist.org/observations/377218684,2026-07-25
red fox 5.jpg,red fox ,canid,CC-BY,"
jballam",https://www.inaturalist.org/observations/369759126,2026-07-25
red fox 6.jpg,red fox ,canid,CC-BY,"
rhys-outsidelens",https://www.inaturalist.org/observations/368116816,2026-07-25
red fox 7.jpg,red fox ,canid,CC-BY,"
igor_sikorskiy",https://www.inaturalist.org/observations/365652289,2026-07-25
red fox 8.jpg,red fox ,canid,CC-BY,"
johnkrampl",https://www.inaturalist.org/observations/365317609,2026-07-25
red fox 9.jpg,red fox ,canid,CC-BY,pileated,https://www.inaturalist.org/observations/363869605,2026-07-25
red fox 10.jpg,red fox ,canid,CC-BY,rhys-outsidelens,https://www.inaturalist.org/observations/363160050,2026-07-25
red fox 11.jpg,red fox ,canid,pexels ,Sylvain Rdlt,https://www.pexels.com/photo/a-fox-in-a-field-17831638/,2026-07-25
red fox 12.jpg,red fox ,canid,pexels ,"Barna Morvai

",https://www.pexels.com/photo/fox-on-snow-in-wild-20316443/,2026-07-25
red fox 13.jpg,red fox ,canid,pexels ,Marek Piwnicki,https://www.pexels.com/photo/wild-red-fox-in-lush-green-grass-38194072/,2026-07-25
red fox 14.jpg,red fox ,canid,pexels ,Benjamin Alanis Ibarra,https://www.pexels.com/photo/wild-red-fox-staring-in-its-natural-habitat-33675195/,2026-07-25
red fox 15.jpg,red fox ,canid,pexels ,Riccardo Vespa,https://www.pexels.com/photo/fox-near-road-26843364/,2026-07-25
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
gray wolf 1.jpg,gray wolf ,canid,CC-BY-NC,lukas11311,https://www.inaturalist.org/observations/384871420,2026-07-25
gray wolf 2.jpg,grey wolf ,canid,CC-BY-NC,capracornelius,https://www.inaturalist.org/observations/384515654,2026-07-25
gray wolf 3.jpg,grey wolf ,canid,CC-BY-NC,"
stevencheinl",https://www.inaturalist.org/observations/382497784,2026-07-25
gray wolf 4.jpg,grey wolf ,canid,CC-BY-NC,"
silly__mongoose",https://www.inaturalist.org/observations/381191715,2026-07-25
gray wolf 5.jpg,grey wolf ,canid,CC-BY-NC,nonfictionsteve,https://www.inaturalist.org/observations/373475364,2026-07-25
gray wolf 6.jpg,grey wolf ,canid,CC-BY-NC,amarzee,https://www.inaturalist.org/observations/348509505,2026-07-25
gray wolf 7.jpg,grey wolf ,canid,CC-BY-NC,"
turtletoots",https://www.inaturalist.org/observations/365825455,2026-07-25
gray wolf 8.jpg,grey wolf ,canid,CC-BY-NC,"
seth_benoit",https://www.inaturalist.org/observations/361608923,2026-07-25
gray wolf 9.jpg,grey wolf ,canid,CC-BY-NC,"
dream_moco",https://www.inaturalist.org/observations/358293961,2026-07-25
gray wolf 10.jpg,grey wolf ,canid,CC-BY-NC,pr38,https://www.inaturalist.org/observations/351488622,2026-07-25
gray wolf 11,grey wolf ,canid,pexels ,Ryutaro Tsukata,https://www.pexels.com/photo/wolf-standing-on-stone-ground-in-zoo-5745310/,2026-07-25
gray wolf 12,grey wolf ,canid,pexels ,patrice schoefolt,https://www.pexels.com/photo/majestic-gray-wolf-in-natural-forest-setting-30537759/,2026-07-25
,,,,,,
,,,,,,
coyote 1.jpg,coyote ,canid,CC-BY,"
jimbcv",https://www.inaturalist.org/observations/383508261,2026-07-25
coyote 2.jpg,coyote ,canid,CC-BY,lazarus,https://www.inaturalist.org/observations/381206840,2026-07-25
coyote 3.jpg,coyote ,canid,CC-BY,"
jdrwildlife",https://www.inaturalist.org/observations/379884371,2026-07-25
coyote 4.jpg,coyote ,canid,CC-BY,aydenburd,https://www.inaturalist.org/observations/379838322,2026-07-25
coyote 5.jpg,coyote ,canid,CC-BY,"
carbenoid",https://www.inaturalist.org/observations/374777700,2026-07-25
coyote 6.jpg,coyote ,canid,CC-BY,"
skitterbug",https://www.inaturalist.org/observations/370670310,2026-07-25
coyote 7.jpg,coyote ,canid,CC-BY,aydenburd,https://www.inaturalist.org/observations/366508750,2026-07-25
coyote 8.jpg,coyote ,canid,CC-BY,hannah_mcca,https://www.inaturalist.org/observations/366001872,2026-07-25
coyote 9.jpg,coyote ,canid,CC-BY,"
rjbaltierra",https://www.inaturalist.org/observations/360669589,2026-07-25
coyote 10.jpg,coyote ,canid,CC-BY,"
jimbcv",https://www.inaturalist.org/observations/360070529,2026-07-25
coyote 11.jpg,coyote ,canid,CC-BY,"
alove4feathers",https://www.inaturalist.org/observations/359327991,2026-07-25
coyote 12.jpg,coyote ,canid,CC-BY,andrewmurray1,https://www.inaturalist.org/observations/358020174,2026-07-25
,,,,,,
,,,,,,
,,,,,,
,,,,,,
husky 1.jpg,Husky(Dogs),canid,pexels ,"Bulat Khamitov",https://www.pexels.com/photo/black-and-white-siberian-husky-sitting-on-snow-covered-ground-10459895/,2026-07-25
husky 2.jpg,Husky(Dogs),canid,pexels ,Kateryna Babaieva,https://www.pexels.com/photo/black-and-white-siberian-husky-on-brown-sand-4206712/,2026-07-25
husky 3.jpg,Husky(Dogs),canid,pexels ,Julissa Pires,https://www.pexels.com/photo/brown-and-white-siberian-husky-on-green-grass-field-6177285/,2026-07-25
husky 4.jpg,Husky(Dogs),canid,pexels ,"
iddea photo",https://www.pexels.com/photo/photo-of-a-husky-walking-on-a-snowy-ground-20342444/,2026-07-25
husky 5.jpg,Husky(Dogs),canid,pexels ,Valeria Boltneva,https://www.pexels.com/photo/brown-and-white-siberian-husky-on-brown-sand-13168651/,2026-07-25
german 1.jpg,German(Dogs),canid,pexels ,Ionela Mat,https://www.pexels.com/photo/cheerful-german-shepherd-enjoying-the-outdoors-32396224/,2026-07-25
german 2.jpg,German(Dogs),canid,pexels ,Valeria Boltneva,https://www.pexels.com/photo/close-up-of-german-shepherd-6556744/,2026-07-25
german 3.jpg,German(Dogs),canid,pexels ,imsogabriel Stock,https://www.pexels.com/photo/german-shepherd-dog-lying-on-the-ground-10149791/,2026-07-25
german 4.jpg,German(Dogs),canid,pexels ,Rajesh Balouria,https://www.pexels.com/photo/adult-black-and-brown-german-shepherd-lying-on-floor-1407784/,2026-07-25
german 5.jpg,German(Dogs),canid,pexels ,"
Dunmarx Photography",https://www.pexels.com/photo/two-german-shepherds-in-an-enclosure-35518807/,2026-07-25
